 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 421880 Turvo
Período:2016
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";401;383;784
"De 5 a 9 anos";398;375;773
"De 10 a 14 anos";397;406;803
"De 15 a 19 anos";478;417;895
"De 20 a 24 anos";525;541;1066
"De 25 a 29 anos";546;542;1088
"De 30 a 34 anos";525;541;1066
"De 35 a 39 anos";470;476;946
"De 40 a 44 anos";407;441;848
"De 45 a 49 anos";436;452;888
"De 50 a 54 anos";462;458;920
"De 55 a 59 anos";343;370;713
"De 60 a 64 anos";273;282;555
"De 65 a 69 anos";218;242;460
"De 70 a 74 anos";144;158;302
"De 75 a 79 anos";98;131;229
"De 80 anos ou mais";101;179;280
"Total";6222;6394;12616
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

