 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 430066 André da Rocha
Período:2011
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";33;37;70
"De 5 a 9 anos";41;43;84
"De 10 a 14 anos";45;50;95
"De 15 a 19 anos";48;42;90
"De 20 a 24 anos";47;38;85
"De 25 a 29 anos";45;36;81
"De 30 a 34 anos";38;38;76
"De 35 a 39 anos";39;34;73
"De 40 a 44 anos";47;40;87
"De 45 a 49 anos";55;50;105
"De 50 a 54 anos";52;48;100
"De 55 a 59 anos";43;47;90
"De 60 a 64 anos";31;32;63
"De 65 a 69 anos";23;28;51
"De 70 a 74 anos";19;20;39
"De 75 a 79 anos";16;17;33
"De 80 anos ou mais";15;14;29
"Total";637;614;1251
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

