 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 430080 Antônio Prado
Período:2018
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";300;286;586
"De 5 a 9 anos";304;283;587
"De 10 a 14 anos";352;309;661
"De 15 a 19 anos";435;372;807
"De 20 a 24 anos";493;438;931
"De 25 a 29 anos";488;460;948
"De 30 a 34 anos";478;441;919
"De 35 a 39 anos";438;426;864
"De 40 a 44 anos";383;425;808
"De 45 a 49 anos";439;458;897
"De 50 a 54 anos";554;538;1092
"De 55 a 59 anos";534;549;1083
"De 60 a 64 anos";412;415;827
"De 65 a 69 anos";327;349;676
"De 70 a 74 anos";243;300;543
"De 75 a 79 anos";154;219;373
"De 80 anos ou mais";168;285;453
"Total";6502;6553;13055
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

