 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 430110 Arroio dos Ratos
Período:2014
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";464;452;916
"De 5 a 9 anos";445;470;915
"De 10 a 14 anos";510;489;999
"De 15 a 19 anos";581;554;1135
"De 20 a 24 anos";523;528;1051
"De 25 a 29 anos";501;525;1026
"De 30 a 34 anos";510;523;1033
"De 35 a 39 anos";481;475;956
"De 40 a 44 anos";448;477;925
"De 45 a 49 anos";459;486;945
"De 50 a 54 anos";481;499;980
"De 55 a 59 anos";409;457;866
"De 60 a 64 anos";329;376;705
"De 65 a 69 anos";271;274;545
"De 70 a 74 anos";172;204;376
"De 75 a 79 anos";126;174;300
"De 80 anos ou mais";118;213;331
"Total";6828;7176;14004
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

