 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 430155 Áurea
Período:2007
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";100;99;199
"De 5 a 9 anos";125;139;264
"De 10 a 14 anos";142;136;278
"De 15 a 19 anos";150;128;278
"De 20 a 24 anos";142;137;279
"De 25 a 29 anos";124;125;249
"De 30 a 34 anos";138;132;270
"De 35 a 39 anos";145;129;274
"De 40 a 44 anos";159;144;303
"De 45 a 49 anos";151;130;281
"De 50 a 54 anos";120;119;239
"De 55 a 59 anos";117;117;234
"De 60 a 64 anos";90;92;182
"De 65 a 69 anos";61;81;142
"De 70 a 74 anos";50;72;122
"De 75 a 79 anos";44;55;99
"De 80 anos ou mais";29;68;97
"Total";1887;1903;3790
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

