 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 430170 Barão de Cotegipe
Período:2007
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";186;176;362
"De 5 a 9 anos";266;217;483
"De 10 a 14 anos";277;262;539
"De 15 a 19 anos";277;271;548
"De 20 a 24 anos";272;245;517
"De 25 a 29 anos";241;213;454
"De 30 a 34 anos";208;197;405
"De 35 a 39 anos";237;229;466
"De 40 a 44 anos";274;252;526
"De 45 a 49 anos";253;248;501
"De 50 a 54 anos";221;208;429
"De 55 a 59 anos";196;190;386
"De 60 a 64 anos";144;162;306
"De 65 a 69 anos";107;133;240
"De 70 a 74 anos";87;111;198
"De 75 a 79 anos";62;103;165
"De 80 anos ou mais";54;95;149
"Total";3362;3312;6674
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

