 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 430175 Barão do Triunfo
Período:2013
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";272;249;521
"De 5 a 9 anos";289;253;542
"De 10 a 14 anos";314;292;606
"De 15 a 19 anos";324;298;622
"De 20 a 24 anos";325;271;596
"De 25 a 29 anos";296;255;551
"De 30 a 34 anos";267;263;530
"De 35 a 39 anos";267;247;514
"De 40 a 44 anos";284;243;527
"De 45 a 49 anos";275;227;502
"De 50 a 54 anos";263;200;463
"De 55 a 59 anos";223;174;397
"De 60 a 64 anos";179;130;309
"De 65 a 69 anos";127;96;223
"De 70 a 74 anos";76;89;165
"De 75 a 79 anos";43;62;105
"De 80 anos ou mais";36;60;96
"Total";3860;3409;7269
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

