 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 430195 Barra Funda
Período:2012
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";66;56;122
"De 5 a 9 anos";69;66;135
"De 10 a 14 anos";96;79;175
"De 15 a 19 anos";101;99;200
"De 20 a 24 anos";86;97;183
"De 25 a 29 anos";92;84;176
"De 30 a 34 anos";83;84;167
"De 35 a 39 anos";74;92;166
"De 40 a 44 anos";90;93;183
"De 45 a 49 anos";103;90;193
"De 50 a 54 anos";93;91;184
"De 55 a 59 anos";78;78;156
"De 60 a 64 anos";67;63;130
"De 65 a 69 anos";51;54;105
"De 70 a 74 anos";33;36;69
"De 75 a 79 anos";18;26;44
"De 80 anos ou mais";20;35;55
"Total";1220;1223;2443
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

