 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 430300 Cachoeira do Sul
Período:2014
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";2514;2391;4905
"De 5 a 9 anos";2669;2488;5157
"De 10 a 14 anos";3013;2815;5828
"De 15 a 19 anos";3060;3012;6072
"De 20 a 24 anos";3013;2938;5951
"De 25 a 29 anos";2948;3038;5986
"De 30 a 34 anos";2994;2985;5979
"De 35 a 39 anos";2630;2683;5313
"De 40 a 44 anos";2468;2720;5188
"De 45 a 49 anos";2812;3148;5960
"De 50 a 54 anos";2918;3254;6172
"De 55 a 59 anos";2583;2911;5494
"De 60 a 64 anos";2201;2534;4735
"De 65 a 69 anos";1690;2056;3746
"De 70 a 74 anos";1232;1629;2861
"De 75 a 79 anos";859;1265;2124
"De 80 anos ou mais";866;1733;2599
"Total";40470;43600;84070
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

