 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 430400 Campo Novo
Período:2014
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";145;137;282
"De 5 a 9 anos";151;140;291
"De 10 a 14 anos";184;172;356
"De 15 a 19 anos";218;215;433
"De 20 a 24 anos";193;201;394
"De 25 a 29 anos";159;166;325
"De 30 a 34 anos";175;163;338
"De 35 a 39 anos";150;180;330
"De 40 a 44 anos";162;171;333
"De 45 a 49 anos";167;180;347
"De 50 a 54 anos";184;201;385
"De 55 a 59 anos";170;178;348
"De 60 a 64 anos";145;145;290
"De 65 a 69 anos";110;116;226
"De 70 a 74 anos";76;85;161
"De 75 a 79 anos";60;66;126
"De 80 anos ou mais";49;76;125
"Total";2498;2592;5090
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

