 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 430470 Carazinho
Período:2001
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";2594;2432;5026
"De 5 a 9 anos";2655;2527;5182
"De 10 a 14 anos";2756;2613;5369
"De 15 a 19 anos";2885;2817;5702
"De 20 a 24 anos";2488;2490;4978
"De 25 a 29 anos";2029;2171;4200
"De 30 a 34 anos";2051;2340;4391
"De 35 a 39 anos";2024;2365;4389
"De 40 a 44 anos";1971;2306;4277
"De 45 a 49 anos";1698;1941;3639
"De 50 a 54 anos";1405;1599;3004
"De 55 a 59 anos";1082;1260;2342
"De 60 a 64 anos";877;1068;1945
"De 65 a 69 anos";727;914;1641
"De 70 a 74 anos";524;754;1278
"De 75 a 79 anos";392;589;981
"De 80 anos ou mais";220;427;647
"Total";28378;30613;58991
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

