 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 430471 Caraá
Período:2011
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";207;233;440
"De 5 a 9 anos";242;257;499
"De 10 a 14 anos";283;274;557
"De 15 a 19 anos";278;259;537
"De 20 a 24 anos";242;228;470
"De 25 a 29 anos";246;240;486
"De 30 a 34 anos";232;220;452
"De 35 a 39 anos";247;219;466
"De 40 a 44 anos";282;251;533
"De 45 a 49 anos";293;251;544
"De 50 a 54 anos";284;246;530
"De 55 a 59 anos";267;224;491
"De 60 a 64 anos";253;196;449
"De 65 a 69 anos";201;185;386
"De 70 a 74 anos";166;134;300
"De 75 a 79 anos";86;98;184
"De 80 anos ou mais";104;120;224
"Total";3913;3635;7548
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

