 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 430587 Coronel Barros
Período:2009
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";55;63;118
"De 5 a 9 anos";76;68;144
"De 10 a 14 anos";79;82;161
"De 15 a 19 anos";97;87;184
"De 20 a 24 anos";83;75;158
"De 25 a 29 anos";81;80;161
"De 30 a 34 anos";85;80;165
"De 35 a 39 anos";95;91;186
"De 40 a 44 anos";94;89;183
"De 45 a 49 anos";94;86;180
"De 50 a 54 anos";91;88;179
"De 55 a 59 anos";86;77;163
"De 60 a 64 anos";75;79;154
"De 65 a 69 anos";59;72;131
"De 70 a 74 anos";50;53;103
"De 75 a 79 anos";21;44;65
"De 80 anos ou mais";28;46;74
"Total";1249;1260;2509
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

