 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 430590 Coronel Bicaco
Período:2003
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";374;348;722
"De 5 a 9 anos";399;391;790
"De 10 a 14 anos";375;403;778
"De 15 a 19 anos";376;377;753
"De 20 a 24 anos";346;325;671
"De 25 a 29 anos";288;287;575
"De 30 a 34 anos";281;288;569
"De 35 a 39 anos";305;307;612
"De 40 a 44 anos";288;301;589
"De 45 a 49 anos";248;254;502
"De 50 a 54 anos";226;221;447
"De 55 a 59 anos";187;184;371
"De 60 a 64 anos";149;149;298
"De 65 a 69 anos";109;126;235
"De 70 a 74 anos";74;94;168
"De 75 a 79 anos";57;64;121
"De 80 anos ou mais";50;68;118
"Total";4132;4187;8319
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

