 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 430605 Cristal
Período:2010
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";273;239;512
"De 5 a 9 anos";298;280;578
"De 10 a 14 anos";324;354;678
"De 15 a 19 anos";332;303;635
"De 20 a 24 anos";261;263;524
"De 25 a 29 anos";261;277;538
"De 30 a 34 anos";234;240;474
"De 35 a 39 anos";267;235;502
"De 40 a 44 anos";286;265;551
"De 45 a 49 anos";262;254;516
"De 50 a 54 anos";224;201;425
"De 55 a 59 anos";207;186;393
"De 60 a 64 anos";176;162;338
"De 65 a 69 anos";137;155;292
"De 70 a 74 anos";104;85;189
"De 75 a 79 anos";65;82;147
"De 80 anos ou mais";52;86;138
"Total";3763;3667;7430
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

