 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 430640 Dois Irmãos
Período:2003
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";925;890;1815
"De 5 a 9 anos";1023;1011;2034
"De 10 a 14 anos";1043;1057;2100
"De 15 a 19 anos";1202;1187;2389
"De 20 a 24 anos";1323;1229;2552
"De 25 a 29 anos";1220;1165;2385
"De 30 a 34 anos";1162;1111;2273
"De 35 a 39 anos";1155;1106;2261
"De 40 a 44 anos";1016;985;2001
"De 45 a 49 anos";764;742;1506
"De 50 a 54 anos";547;555;1102
"De 55 a 59 anos";388;407;795
"De 60 a 64 anos";254;306;560
"De 65 a 69 anos";192;257;449
"De 70 a 74 anos";143;186;329
"De 75 a 79 anos";88;140;228
"De 80 anos ou mais";51;112;163
"Total";12496;12446;24942
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

