 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 430642 Dois Irmãos das Missões
Período:2014
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";78;74;152
"De 5 a 9 anos";70;72;142
"De 10 a 14 anos";65;78;143
"De 15 a 19 anos";87;85;172
"De 20 a 24 anos";77;87;164
"De 25 a 29 anos";81;65;146
"De 30 a 34 anos";71;79;150
"De 35 a 39 anos";69;67;136
"De 40 a 44 anos";65;71;136
"De 45 a 49 anos";73;71;144
"De 50 a 54 anos";82;78;160
"De 55 a 59 anos";70;58;128
"De 60 a 64 anos";50;61;111
"De 65 a 69 anos";54;45;99
"De 70 a 74 anos";26;24;50
"De 75 a 79 anos";19;22;41
"De 80 anos ou mais";25;25;50
"Total";1062;1062;2124
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

