 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 430807 Fazenda Vilanova
Período:2016
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";173;164;337
"De 5 a 9 anos";158;158;316
"De 10 a 14 anos";137;157;294
"De 15 a 19 anos";155;184;339
"De 20 a 24 anos";179;166;345
"De 25 a 29 anos";161;168;329
"De 30 a 34 anos";137;153;290
"De 35 a 39 anos";146;128;274
"De 40 a 44 anos";172;139;311
"De 45 a 49 anos";138;126;264
"De 50 a 54 anos";136;136;272
"De 55 a 59 anos";144;115;259
"De 60 a 64 anos";98;103;201
"De 65 a 69 anos";95;80;175
"De 70 a 74 anos";58;62;120
"De 75 a 79 anos";43;42;85
"De 80 anos ou mais";34;46;80
"Total";2164;2127;4291
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

