 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 430810 Feliz
Período:2004
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";362;352;714
"De 5 a 9 anos";420;429;849
"De 10 a 14 anos";532;484;1016
"De 15 a 19 anos";574;549;1123
"De 20 a 24 anos";537;503;1040
"De 25 a 29 anos";477;445;922
"De 30 a 34 anos";430;439;869
"De 35 a 39 anos";515;516;1031
"De 40 a 44 anos";495;477;972
"De 45 a 49 anos";436;439;875
"De 50 a 54 anos";357;323;680
"De 55 a 59 anos";274;262;536
"De 60 a 64 anos";179;229;408
"De 65 a 69 anos";166;192;358
"De 70 a 74 anos";122;164;286
"De 75 a 79 anos";88;126;214
"De 80 anos ou mais";60;120;180
"Total";6024;6049;12073
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

