 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 430843 Forquetinha
Período:2009
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";45;43;88
"De 5 a 9 anos";57;64;121
"De 10 a 14 anos";77;78;155
"De 15 a 19 anos";82;78;160
"De 20 a 24 anos";88;77;165
"De 25 a 29 anos";83;67;150
"De 30 a 34 anos";83;75;158
"De 35 a 39 anos";76;70;146
"De 40 a 44 anos";93;84;177
"De 45 a 49 anos";109;96;205
"De 50 a 54 anos";120;103;223
"De 55 a 59 anos";119;102;221
"De 60 a 64 anos";97;82;179
"De 65 a 69 anos";67;59;126
"De 70 a 74 anos";47;54;101
"De 75 a 79 anos";34;47;81
"De 80 anos ou mais";27;57;84
"Total";1304;1236;2540
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

