 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 430955 Harmonia
Período:2019
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";130;124;254
"De 5 a 9 anos";132;125;257
"De 10 a 14 anos";142;126;268
"De 15 a 19 anos";177;149;326
"De 20 a 24 anos";214;175;389
"De 25 a 29 anos";211;192;403
"De 30 a 34 anos";179;180;359
"De 35 a 39 anos";180;189;369
"De 40 a 44 anos";183;151;334
"De 45 a 49 anos";157;161;318
"De 50 a 54 anos";181;176;357
"De 55 a 59 anos";165;162;327
"De 60 a 64 anos";140;140;280
"De 65 a 69 anos";114;99;213
"De 70 a 74 anos";69;79;148
"De 75 a 79 anos";46;66;112
"De 80 anos ou mais";53;99;152
"Total";2473;2393;4866
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

