 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 430975 Ibarama
Período:2020
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";171;163;334
"De 5 a 9 anos";161;154;315
"De 10 a 14 anos";140;156;296
"De 15 a 19 anos";162;158;320
"De 20 a 24 anos";165;137;302
"De 25 a 29 anos";162;171;333
"De 30 a 34 anos";166;192;358
"De 35 a 39 anos";189;152;341
"De 40 a 44 anos";153;125;278
"De 45 a 49 anos";152;127;279
"De 50 a 54 anos";129;111;240
"De 55 a 59 anos";123;109;232
"De 60 a 64 anos";112;122;234
"De 65 a 69 anos";87;97;184
"De 70 a 74 anos";71;74;145
"De 75 a 79 anos";44;60;104
"De 80 anos ou mais";41;63;104
"Total";2228;2171;4399
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

