 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 431125 Lagoão
Período:2009
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";253;238;491
"De 5 a 9 anos";295;262;557
"De 10 a 14 anos";319;303;622
"De 15 a 19 anos";295;275;570
"De 20 a 24 anos";225;217;442
"De 25 a 29 anos";223;214;437
"De 30 a 34 anos";234;209;443
"De 35 a 39 anos";237;204;441
"De 40 a 44 anos";238;205;443
"De 45 a 49 anos";224;198;422
"De 50 a 54 anos";173;167;340
"De 55 a 59 anos";140;143;283
"De 60 a 64 anos";140;129;269
"De 65 a 69 anos";98;98;196
"De 70 a 74 anos";69;76;145
"De 75 a 79 anos";56;51;107
"De 80 anos ou mais";45;53;98
"Total";3264;3042;6306
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

