 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 431160 Liberato Salzano
Período:2014
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";157;145;302
"De 5 a 9 anos";173;148;321
"De 10 a 14 anos";191;188;379
"De 15 a 19 anos";195;195;390
"De 20 a 24 anos";230;193;423
"De 25 a 29 anos";202;180;382
"De 30 a 34 anos";200;182;382
"De 35 a 39 anos";179;149;328
"De 40 a 44 anos";183;176;359
"De 45 a 49 anos";230;207;437
"De 50 a 54 anos";218;205;423
"De 55 a 59 anos";195;187;382
"De 60 a 64 anos";181;177;358
"De 65 a 69 anos";130;133;263
"De 70 a 74 anos";87;95;182
"De 75 a 79 anos";66;70;136
"De 80 anos ou mais";55;95;150
"Total";2872;2725;5597
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

