 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 431230 Miraguaí
Período:2008
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";168;163;331
"De 5 a 9 anos";209;186;395
"De 10 a 14 anos";213;219;432
"De 15 a 19 anos";209;209;418
"De 20 a 24 anos";184;201;385
"De 25 a 29 anos";143;169;312
"De 30 a 34 anos";135;154;289
"De 35 a 39 anos";150;149;299
"De 40 a 44 anos";170;179;349
"De 45 a 49 anos";180;170;350
"De 50 a 54 anos";179;165;344
"De 55 a 59 anos";154;146;300
"De 60 a 64 anos";109;113;222
"De 65 a 69 anos";93;100;193
"De 70 a 74 anos";77;72;149
"De 75 a 79 anos";49;55;104
"De 80 anos ou mais";46;63;109
"Total";2468;2513;4981
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

