 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 431260 Muçum
Período:2008
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";132;135;267
"De 5 a 9 anos";147;134;281
"De 10 a 14 anos";158;152;310
"De 15 a 19 anos";170;170;340
"De 20 a 24 anos";167;171;338
"De 25 a 29 anos";158;155;313
"De 30 a 34 anos";152;164;316
"De 35 a 39 anos";156;165;321
"De 40 a 44 anos";176;179;355
"De 45 a 49 anos";186;187;373
"De 50 a 54 anos";152;190;342
"De 55 a 59 anos";153;171;324
"De 60 a 64 anos";140;154;294
"De 65 a 69 anos";107;122;229
"De 70 a 74 anos";93;100;193
"De 75 a 79 anos";56;78;134
"De 80 anos ou mais";45;104;149
"Total";2348;2531;4879
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

