 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 431275 Nova Alvorada
Período:2011
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";91;85;176
"De 5 a 9 anos";109;133;242
"De 10 a 14 anos";126;124;250
"De 15 a 19 anos";123;135;258
"De 20 a 24 anos";132;118;250
"De 25 a 29 anos";127;127;254
"De 30 a 34 anos";113;112;225
"De 35 a 39 anos";137;111;248
"De 40 a 44 anos";113;124;237
"De 45 a 49 anos";120;104;224
"De 50 a 54 anos";110;99;209
"De 55 a 59 anos";96;97;193
"De 60 a 64 anos";79;80;159
"De 65 a 69 anos";61;70;131
"De 70 a 74 anos";53;45;98
"De 75 a 79 anos";30;30;60
"De 80 anos ou mais";27;47;74
"Total";1647;1641;3288
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

