 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 431306 Nova Hartz
Período:2019
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";896;854;1750
"De 5 a 9 anos";820;807;1627
"De 10 a 14 anos";787;826;1613
"De 15 a 19 anos";881;886;1767
"De 20 a 24 anos";882;964;1846
"De 25 a 29 anos";854;875;1729
"De 30 a 34 anos";793;858;1651
"De 35 a 39 anos";826;863;1689
"De 40 a 44 anos";808;813;1621
"De 45 a 49 anos";766;737;1503
"De 50 a 54 anos";667;674;1341
"De 55 a 59 anos";554;604;1158
"De 60 a 64 anos";390;460;850
"De 65 a 69 anos";286;321;607
"De 70 a 74 anos";185;211;396
"De 75 a 79 anos";102;129;231
"De 80 anos ou mais";87;149;236
"Total";10584;11031;21615
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

