 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 431310 Nova Palma
Período:2007
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";175;174;349
"De 5 a 9 anos";259;249;508
"De 10 a 14 anos";295;258;553
"De 15 a 19 anos";308;266;574
"De 20 a 24 anos";277;281;558
"De 25 a 29 anos";251;236;487
"De 30 a 34 anos";210;188;398
"De 35 a 39 anos";226;197;423
"De 40 a 44 anos";249;232;481
"De 45 a 49 anos";229;208;437
"De 50 a 54 anos";207;195;402
"De 55 a 59 anos";184;170;354
"De 60 a 64 anos";143;134;277
"De 65 a 69 anos";113;110;223
"De 70 a 74 anos";78;97;175
"De 75 a 79 anos";56;73;129
"De 80 anos ou mais";49;86;135
"Total";3309;3154;6463
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

