 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 431335 Nova Roma do Sul
Período:2017
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";90;86;176
"De 5 a 9 anos";93;86;179
"De 10 a 14 anos";112;87;199
"De 15 a 19 anos";122;108;230
"De 20 a 24 anos";130;136;266
"De 25 a 29 anos";135;114;249
"De 30 a 34 anos";133;116;249
"De 35 a 39 anos";116;126;242
"De 40 a 44 anos";116;112;228
"De 45 a 49 anos";139;144;283
"De 50 a 54 anos";167;150;317
"De 55 a 59 anos";137;117;254
"De 60 a 64 anos";105;93;198
"De 65 a 69 anos";88;75;163
"De 70 a 74 anos";62;64;126
"De 75 a 79 anos";50;61;111
"De 80 anos ou mais";66;95;161
"Total";1861;1770;3631
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

