 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 431403 Pareci Novo
Período:2002
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";116;99;215
"De 5 a 9 anos";143;122;265
"De 10 a 14 anos";145;133;278
"De 15 a 19 anos";154;127;281
"De 20 a 24 anos";140;129;269
"De 25 a 29 anos";123;124;247
"De 30 a 34 anos";124;116;240
"De 35 a 39 anos";140;129;269
"De 40 a 44 anos";135;136;271
"De 45 a 49 anos";121;112;233
"De 50 a 54 anos";97;80;177
"De 55 a 59 anos";73;76;149
"De 60 a 64 anos";70;76;146
"De 65 a 69 anos";60;63;123
"De 70 a 74 anos";47;55;102
"De 75 a 79 anos";25;45;70
"De 80 anos ou mais";14;32;46
"Total";1727;1654;3381
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

