 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 431415 Paverama
Período:2008
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";262;260;522
"De 5 a 9 anos";284;275;559
"De 10 a 14 anos";306;311;617
"De 15 a 19 anos";327;305;632
"De 20 a 24 anos";334;293;627
"De 25 a 29 anos";304;296;600
"De 30 a 34 anos";291;287;578
"De 35 a 39 anos";298;280;578
"De 40 a 44 anos";306;275;581
"De 45 a 49 anos";285;278;563
"De 50 a 54 anos";266;261;527
"De 55 a 59 anos";238;224;462
"De 60 a 64 anos";193;199;392
"De 65 a 69 anos";153;147;300
"De 70 a 74 anos";122;134;256
"De 75 a 79 anos";87;108;195
"De 80 anos ou mais";69;104;173
"Total";4125;4037;8162
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

