 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 431446 Pinhal da Serra
Período:2003
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";81;80;161
"De 5 a 9 anos";100;101;201
"De 10 a 14 anos";103;101;204
"De 15 a 19 anos";117;90;207
"De 20 a 24 anos";92;83;175
"De 25 a 29 anos";59;63;122
"De 30 a 34 anos";64;60;124
"De 35 a 39 anos";77;78;155
"De 40 a 44 anos";90;90;180
"De 45 a 49 anos";85;86;171
"De 50 a 54 anos";80;63;143
"De 55 a 59 anos";65;59;124
"De 60 a 64 anos";52;50;102
"De 65 a 69 anos";52;35;87
"De 70 a 74 anos";41;39;80
"De 75 a 79 anos";35;28;63
"De 80 anos ou mais";21;18;39
"Total";1214;1124;2338
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

