 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 431470 Planalto
Período:2006
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";372;348;720
"De 5 a 9 anos";452;482;934
"De 10 a 14 anos";501;483;984
"De 15 a 19 anos";459;474;933
"De 20 a 24 anos";492;459;951
"De 25 a 29 anos";375;385;760
"De 30 a 34 anos";329;336;665
"De 35 a 39 anos";380;373;753
"De 40 a 44 anos";408;387;795
"De 45 a 49 anos";372;424;796
"De 50 a 54 anos";336;334;670
"De 55 a 59 anos";272;273;545
"De 60 a 64 anos";198;217;415
"De 65 a 69 anos";173;181;354
"De 70 a 74 anos";141;153;294
"De 75 a 79 anos";94;114;208
"De 80 anos ou mais";74;120;194
"Total";5428;5543;10971
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

