 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 431477 Pontão
Período:2007
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";150;136;286
"De 5 a 9 anos";165;164;329
"De 10 a 14 anos";190;170;360
"De 15 a 19 anos";179;168;347
"De 20 a 24 anos";177;168;345
"De 25 a 29 anos";151;131;282
"De 30 a 34 anos";140;129;269
"De 35 a 39 anos";133;148;281
"De 40 a 44 anos";141;156;297
"De 45 a 49 anos";142;132;274
"De 50 a 54 anos";129;111;240
"De 55 a 59 anos";104;94;198
"De 60 a 64 anos";83;65;148
"De 65 a 69 anos";61;54;115
"De 70 a 74 anos";37;41;78
"De 75 a 79 anos";23;27;50
"De 80 anos ou mais";21;25;46
"Total";2026;1919;3945
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

