 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 431478 Ponte Preta
Período:2017
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";36;34;70
"De 5 a 9 anos";40;31;71
"De 10 a 14 anos";37;29;66
"De 15 a 19 anos";37;31;68
"De 20 a 24 anos";59;46;105
"De 25 a 29 anos";62;44;106
"De 30 a 34 anos";45;39;84
"De 35 a 39 anos";47;47;94
"De 40 a 44 anos";54;45;99
"De 45 a 49 anos";61;55;116
"De 50 a 54 anos";73;68;141
"De 55 a 59 anos";76;65;141
"De 60 a 64 anos";64;61;125
"De 65 a 69 anos";55;50;105
"De 70 a 74 anos";41;40;81
"De 75 a 79 anos";25;33;58
"De 80 anos ou mais";28;39;67
"Total";840;757;1597
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

