 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 431510 Porto Xavier
Período:2005
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";379;361;740
"De 5 a 9 anos";479;458;937
"De 10 a 14 anos";481;489;970
"De 15 a 19 anos";452;447;899
"De 20 a 24 anos";499;488;987
"De 25 a 29 anos";397;400;797
"De 30 a 34 anos";398;401;799
"De 35 a 39 anos";394;356;750
"De 40 a 44 anos";379;404;783
"De 45 a 49 anos";404;392;796
"De 50 a 54 anos";329;311;640
"De 55 a 59 anos";265;270;535
"De 60 a 64 anos";216;205;421
"De 65 a 69 anos";204;174;378
"De 70 a 74 anos";126;128;254
"De 75 a 79 anos";94;95;189
"De 80 anos ou mais";51;92;143
"Total";5547;5471;11018
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

