 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 431590 Rodeio Bonito
Período:2003
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";218;206;424
"De 5 a 9 anos";244;233;477
"De 10 a 14 anos";270;256;526
"De 15 a 19 anos";290;274;564
"De 20 a 24 anos";252;264;516
"De 25 a 29 anos";195;215;410
"De 30 a 34 anos";196;197;393
"De 35 a 39 anos";234;211;445
"De 40 a 44 anos";227;225;452
"De 45 a 49 anos";203;199;402
"De 50 a 54 anos";169;171;340
"De 55 a 59 anos";123;121;244
"De 60 a 64 anos";97;107;204
"De 65 a 69 anos";76;94;170
"De 70 a 74 anos";56;68;124
"De 75 a 79 anos";41;55;96
"De 80 anos ou mais";28;43;71
"Total";2919;2939;5858
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

