 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 431697 Santa Margarida do Sul
Período:2004
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";84;82;166
"De 5 a 9 anos";93;96;189
"De 10 a 14 anos";86;93;179
"De 15 a 19 anos";85;79;164
"De 20 a 24 anos";88;71;159
"De 25 a 29 anos";80;73;153
"De 30 a 34 anos";95;87;182
"De 35 a 39 anos";100;86;186
"De 40 a 44 anos";96;79;175
"De 45 a 49 anos";97;73;170
"De 50 a 54 anos";74;50;124
"De 55 a 59 anos";77;50;127
"De 60 a 64 anos";60;50;110
"De 65 a 69 anos";55;41;96
"De 70 a 74 anos";34;26;60
"De 75 a 79 anos";19;23;42
"De 80 anos ou mais";12;14;26
"Total";1235;1073;2308
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

