 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 431790 Santo Cristo
Período:2002
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";523;502;1025
"De 5 a 9 anos";604;579;1183
"De 10 a 14 anos";687;623;1310
"De 15 a 19 anos";708;637;1345
"De 20 a 24 anos";592;537;1129
"De 25 a 29 anos";512;485;997
"De 30 a 34 anos";577;554;1131
"De 35 a 39 anos";651;603;1254
"De 40 a 44 anos";624;591;1215
"De 45 a 49 anos";528;525;1053
"De 50 a 54 anos";434;423;857
"De 55 a 59 anos";335;364;699
"De 60 a 64 anos";274;305;579
"De 65 a 69 anos";218;245;463
"De 70 a 74 anos";159;195;354
"De 75 a 79 anos";101;164;265
"De 80 anos ou mais";61;105;166
"Total";7588;7437;15025
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

