 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 431805 São Domingos do Sul
Período:2013
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";75;69;144
"De 5 a 9 anos";83;74;157
"De 10 a 14 anos";92;85;177
"De 15 a 19 anos";111;103;214
"De 20 a 24 anos";117;113;230
"De 25 a 29 anos";101;101;202
"De 30 a 34 anos";100;87;187
"De 35 a 39 anos";93;81;174
"De 40 a 44 anos";95;97;192
"De 45 a 49 anos";111;116;227
"De 50 a 54 anos";124;115;239
"De 55 a 59 anos";112;110;222
"De 60 a 64 anos";110;115;225
"De 65 a 69 anos";83;80;163
"De 70 a 74 anos";46;48;94
"De 75 a 79 anos";32;36;68
"De 80 anos ou mais";34;66;100
"Total";1519;1496;3015
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

