 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 431844 São Jorge
Período:2004
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";94;89;183
"De 5 a 9 anos";94;94;188
"De 10 a 14 anos";112;114;226
"De 15 a 19 anos";115;119;234
"De 20 a 24 anos";115;126;241
"De 25 a 29 anos";89;94;183
"De 30 a 34 anos";97;89;186
"De 35 a 39 anos";113;111;224
"De 40 a 44 anos";118;112;230
"De 45 a 49 anos";119;104;223
"De 50 a 54 anos";115;100;215
"De 55 a 59 anos";85;76;161
"De 60 a 64 anos";58;58;116
"De 65 a 69 anos";47;49;96
"De 70 a 74 anos";31;36;67
"De 75 a 79 anos";23;36;59
"De 80 anos ou mais";18;29;47
"Total";1443;1436;2879
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

