 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 431848 São José do Hortêncio
Período:2019
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";153;146;299
"De 5 a 9 anos";154;146;300
"De 10 a 14 anos";163;131;294
"De 15 a 19 anos";136;136;272
"De 20 a 24 anos";163;160;323
"De 25 a 29 anos";196;172;368
"De 30 a 34 anos";177;189;366
"De 35 a 39 anos";180;175;355
"De 40 a 44 anos";166;152;318
"De 45 a 49 anos";163;178;341
"De 50 a 54 anos";183;185;368
"De 55 a 59 anos";173;156;329
"De 60 a 64 anos";153;132;285
"De 65 a 69 anos";111;106;217
"De 70 a 74 anos";63;72;135
"De 75 a 79 anos";45;50;95
"De 80 anos ou mais";52;87;139
"Total";2431;2373;4804
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

