 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 431870 São Leopoldo
Período:2015
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";8124;7750;15874
"De 5 a 9 anos";7854;7415;15269
"De 10 a 14 anos";8787;8163;16950
"De 15 a 19 anos";9864;9361;19225
"De 20 a 24 anos";9667;9380;19047
"De 25 a 29 anos";9406;9374;18780
"De 30 a 34 anos";9620;9675;19295
"De 35 a 39 anos";8589;8929;17518
"De 40 a 44 anos";7489;7940;15429
"De 45 a 49 anos";7302;7857;15159
"De 50 a 54 anos";6941;8117;15058
"De 55 a 59 anos";5932;6815;12747
"De 60 a 64 anos";4495;5341;9836
"De 65 a 69 anos";3152;4082;7234
"De 70 a 74 anos";1941;2784;4725
"De 75 a 79 anos";1182;1958;3140
"De 80 anos ou mais";1117;2448;3565
"Total";111462;117389;228851
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

