 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 431890 São Luiz Gonzaga
Período:2003
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1485;1400;2885
"De 5 a 9 anos";1677;1547;3224
"De 10 a 14 anos";1753;1649;3402
"De 15 a 19 anos";1762;1753;3515
"De 20 a 24 anos";1561;1554;3115
"De 25 a 29 anos";1300;1285;2585
"De 30 a 34 anos";1165;1272;2437
"De 35 a 39 anos";1160;1382;2542
"De 40 a 44 anos";1185;1380;2565
"De 45 a 49 anos";1094;1227;2321
"De 50 a 54 anos";962;1031;1993
"De 55 a 59 anos";781;846;1627
"De 60 a 64 anos";590;690;1280
"De 65 a 69 anos";468;571;1039
"De 70 a 74 anos";355;464;819
"De 75 a 79 anos";250;391;641
"De 80 anos ou mais";192;349;541
"Total";17740;18791;36531
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

