 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 431973 São Valério do Sul
Período:2006
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";120;117;237
"De 5 a 9 anos";160;139;299
"De 10 a 14 anos";124;126;250
"De 15 a 19 anos";133;123;256
"De 20 a 24 anos";120;111;231
"De 25 a 29 anos";87;96;183
"De 30 a 34 anos";81;80;161
"De 35 a 39 anos";91;78;169
"De 40 a 44 anos";73;79;152
"De 45 a 49 anos";81;73;154
"De 50 a 54 anos";94;68;162
"De 55 a 59 anos";61;68;129
"De 60 a 64 anos";59;47;106
"De 65 a 69 anos";39;35;74
"De 70 a 74 anos";34;26;60
"De 75 a 79 anos";19;15;34
"De 80 anos ou mais";19;17;36
"Total";1395;1298;2693
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

