 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 431980 São Vicente do Sul
Período:2000
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";416;417;833
"De 5 a 9 anos";390;392;782
"De 10 a 14 anos";398;373;771
"De 15 a 19 anos";417;394;811
"De 20 a 24 anos";303;306;609
"De 25 a 29 anos";305;272;577
"De 30 a 34 anos";325;324;649
"De 35 a 39 anos";325;319;644
"De 40 a 44 anos";291;295;586
"De 45 a 49 anos";264;247;511
"De 50 a 54 anos";203;197;400
"De 55 a 59 anos";153;151;304
"De 60 a 64 anos";160;133;293
"De 65 a 69 anos";126;158;284
"De 70 a 74 anos";97;107;204
"De 75 a 79 anos";65;87;152
"De 80 anos ou mais";32;47;79
"Total";4270;4219;8489
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

