 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 432050 Sertão
Período:2018
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";127;120;247
"De 5 a 9 anos";120;123;243
"De 10 a 14 anos";130;136;266
"De 15 a 19 anos";154;156;310
"De 20 a 24 anos";171;182;353
"De 25 a 29 anos";177;190;367
"De 30 a 34 anos";171;195;366
"De 35 a 39 anos";179;200;379
"De 40 a 44 anos";181;167;348
"De 45 a 49 anos";190;185;375
"De 50 a 54 anos";204;246;450
"De 55 a 59 anos";206;237;443
"De 60 a 64 anos";191;207;398
"De 65 a 69 anos";163;175;338
"De 70 a 74 anos";119;128;247
"De 75 a 79 anos";85;92;177
"De 80 anos ou mais";82;130;212
"Total";2650;2869;5519
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

