 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 432183 Três Forquilhas
Período:2000
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";153;127;280
"De 5 a 9 anos";143;142;285
"De 10 a 14 anos";150;142;292
"De 15 a 19 anos";155;146;301
"De 20 a 24 anos";131;115;246
"De 25 a 29 anos";110;110;220
"De 30 a 34 anos";140;133;273
"De 35 a 39 anos";148;107;255
"De 40 a 44 anos";99;82;181
"De 45 a 49 anos";97;85;182
"De 50 a 54 anos";87;88;175
"De 55 a 59 anos";83;93;176
"De 60 a 64 anos";82;68;150
"De 65 a 69 anos";50;69;119
"De 70 a 74 anos";37;35;72
"De 75 a 79 anos";20;38;58
"De 80 anos ou mais";16;17;33
"Total";1701;1597;3298
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

