 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 432190 Três Passos
Período:2011
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";618;597;1215
"De 5 a 9 anos";756;694;1450
"De 10 a 14 anos";883;831;1714
"De 15 a 19 anos";942;910;1852
"De 20 a 24 anos";897;882;1779
"De 25 a 29 anos";945;892;1837
"De 30 a 34 anos";890;876;1766
"De 35 a 39 anos";866;824;1690
"De 40 a 44 anos";861;871;1732
"De 45 a 49 anos";918;928;1846
"De 50 a 54 anos";827;904;1731
"De 55 a 59 anos";718;807;1525
"De 60 a 64 anos";598;693;1291
"De 65 a 69 anos";470;554;1024
"De 70 a 74 anos";355;425;780
"De 75 a 79 anos";215;342;557
"De 80 anos ou mais";229;384;613
"Total";11988;12414;24402
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

