 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 432235 União da Serra
Período:2010
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";27;35;62
"De 5 a 9 anos";27;31;58
"De 10 a 14 anos";52;41;93
"De 15 a 19 anos";56;47;103
"De 20 a 24 anos";56;43;99
"De 25 a 29 anos";61;31;92
"De 30 a 34 anos";46;20;66
"De 35 a 39 anos";30;38;68
"De 40 a 44 anos";48;49;97
"De 45 a 49 anos";83;49;132
"De 50 a 54 anos";77;68;145
"De 55 a 59 anos";70;66;136
"De 60 a 64 anos";57;52;109
"De 65 a 69 anos";46;38;84
"De 70 a 74 anos";32;30;62
"De 75 a 79 anos";19;27;46
"De 80 anos ou mais";26;40;66
"Total";813;705;1518
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

