 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 432260 Venâncio Aires
Período:2006
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";2062;1970;4032
"De 5 a 9 anos";2598;2405;5003
"De 10 a 14 anos";2771;2575;5346
"De 15 a 19 anos";2735;2665;5400
"De 20 a 24 anos";2778;2681;5459
"De 25 a 29 anos";2558;2523;5081
"De 30 a 34 anos";2498;2452;4950
"De 35 a 39 anos";2525;2571;5096
"De 40 a 44 anos";2576;2565;5141
"De 45 a 49 anos";2351;2322;4673
"De 50 a 54 anos";1987;2011;3998
"De 55 a 59 anos";1635;1632;3267
"De 60 a 64 anos";1194;1306;2500
"De 65 a 69 anos";929;1118;2047
"De 70 a 74 anos";686;951;1637
"De 75 a 79 anos";452;706;1158
"De 80 anos ou mais";337;700;1037
"Total";32672;33153;65825
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

