 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 432320 Victor Graeff
Período:2019
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";85;81;166
"De 5 a 9 anos";93;79;172
"De 10 a 14 anos";93;65;158
"De 15 a 19 anos";81;70;151
"De 20 a 24 anos";87;92;179
"De 25 a 29 anos";89;101;190
"De 30 a 34 anos";73;88;161
"De 35 a 39 anos";88;95;183
"De 40 a 44 anos";100;94;194
"De 45 a 49 anos";106;98;204
"De 50 a 54 anos";121;123;244
"De 55 a 59 anos";110;94;204
"De 60 a 64 anos";98;99;197
"De 65 a 69 anos";68;89;157
"De 70 a 74 anos";50;73;123
"De 75 a 79 anos";35;50;85
"De 80 anos ou mais";34;80;114
"Total";1411;1471;2882
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

