 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 432377 Westfalia
Período:2019
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";69;66;135
"De 5 a 9 anos";67;64;131
"De 10 a 14 anos";72;74;146
"De 15 a 19 anos";84;101;185
"De 20 a 24 anos";89;97;186
"De 25 a 29 anos";111;91;202
"De 30 a 34 anos";135;102;237
"De 35 a 39 anos";131;121;252
"De 40 a 44 anos";122;94;216
"De 45 a 49 anos";105;98;203
"De 50 a 54 anos";116;119;235
"De 55 a 59 anos";136;102;238
"De 60 a 64 anos";84;90;174
"De 65 a 69 anos";66;84;150
"De 70 a 74 anos";58;63;121
"De 75 a 79 anos";43;56;99
"De 80 anos ou mais";39;65;104
"Total";1527;1487;3014
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

