 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 500280 Caracol
Período:2007
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";213;210;423
"De 5 a 9 anos";265;278;543
"De 10 a 14 anos";302;290;592
"De 15 a 19 anos";261;262;523
"De 20 a 24 anos";257;234;491
"De 25 a 29 anos";230;210;440
"De 30 a 34 anos";201;184;385
"De 35 a 39 anos";183;179;362
"De 40 a 44 anos";179;155;334
"De 45 a 49 anos";160;129;289
"De 50 a 54 anos";125;104;229
"De 55 a 59 anos";94;85;179
"De 60 a 64 anos";83;67;150
"De 65 a 69 anos";69;58;127
"De 70 a 74 anos";50;40;90
"De 75 a 79 anos";40;23;63
"De 80 anos ou mais";22;25;47
"Total";2734;2533;5267
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

