 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 500310 Corguinho
Período:2011
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";200;174;374
"De 5 a 9 anos";219;193;412
"De 10 a 14 anos";253;196;449
"De 15 a 19 anos";250;186;436
"De 20 a 24 anos";180;165;345
"De 25 a 29 anos";183;178;361
"De 30 a 34 anos";205;184;389
"De 35 a 39 anos";179;186;365
"De 40 a 44 anos";187;159;346
"De 45 a 49 anos";177;173;350
"De 50 a 54 anos";183;147;330
"De 55 a 59 anos";158;116;274
"De 60 a 64 anos";119;89;208
"De 65 a 69 anos";80;69;149
"De 70 a 74 anos";71;48;119
"De 75 a 79 anos";45;32;77
"De 80 anos ou mais";46;32;78
"Total";2735;2327;5062
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

