 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 500315 Coronel Sapucaia
Período:2019
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";845;807;1652
"De 5 a 9 anos";763;737;1500
"De 10 a 14 anos";655;644;1299
"De 15 a 19 anos";641;710;1351
"De 20 a 24 anos";645;723;1368
"De 25 a 29 anos";548;645;1193
"De 30 a 34 anos";479;536;1015
"De 35 a 39 anos";441;549;990
"De 40 a 44 anos";412;466;878
"De 45 a 49 anos";411;428;839
"De 50 a 54 anos";372;398;770
"De 55 a 59 anos";327;337;664
"De 60 a 64 anos";244;271;515
"De 65 a 69 anos";206;208;414
"De 70 a 74 anos";150;148;298
"De 75 a 79 anos";116;116;232
"De 80 anos ou mais";141;134;275
"Total";7396;7857;15253
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

