 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 500348 Dois Irmãos do Buriti
Período:2002
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";515;520;1035
"De 5 a 9 anos";601;596;1197
"De 10 a 14 anos";578;522;1100
"De 15 a 19 anos";525;462;987
"De 20 a 24 anos";453;413;866
"De 25 a 29 anos";386;359;745
"De 30 a 34 anos";356;337;693
"De 35 a 39 anos";356;323;679
"De 40 a 44 anos";314;260;574
"De 45 a 49 anos";241;195;436
"De 50 a 54 anos";200;147;347
"De 55 a 59 anos";172;130;302
"De 60 a 64 anos";146;119;265
"De 65 a 69 anos";121;96;217
"De 70 a 74 anos";89;62;151
"De 75 a 79 anos";63;42;105
"De 80 anos ou mais";43;38;81
"Total";5159;4621;9780
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

