 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 500630 Paranaíba
Período:2017
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1436;1371;2807
"De 5 a 9 anos";1375;1336;2711
"De 10 a 14 anos";1360;1337;2697
"De 15 a 19 anos";1469;1496;2965
"De 20 a 24 anos";1626;1623;3249
"De 25 a 29 anos";1641;1655;3296
"De 30 a 34 anos";1596;1692;3288
"De 35 a 39 anos";1557;1671;3228
"De 40 a 44 anos";1485;1555;3040
"De 45 a 49 anos";1446;1496;2942
"De 50 a 54 anos";1318;1384;2702
"De 55 a 59 anos";1130;1238;2368
"De 60 a 64 anos";1003;1086;2089
"De 65 a 69 anos";790;824;1614
"De 70 a 74 anos";570;595;1165
"De 75 a 79 anos";405;427;832
"De 80 anos ou mais";420;464;884
"Total";20627;21250;41877
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

