 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 500780 Selvíria
Período:2003
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";281;281;562
"De 5 a 9 anos";325;328;653
"De 10 a 14 anos";307;304;611
"De 15 a 19 anos";297;297;594
"De 20 a 24 anos";292;284;576
"De 25 a 29 anos";268;249;517
"De 30 a 34 anos";244;242;486
"De 35 a 39 anos";246;230;476
"De 40 a 44 anos";222;207;429
"De 45 a 49 anos";175;175;350
"De 50 a 54 anos";140;125;265
"De 55 a 59 anos";116;102;218
"De 60 a 64 anos";105;80;185
"De 65 a 69 anos";85;65;150
"De 70 a 74 anos";64;46;110
"De 75 a 79 anos";37;28;65
"De 80 anos ou mais";24;23;47
"Total";3228;3066;6294
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

