 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 510030 Alto Araguaia
Período:2018
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";752;718;1470
"De 5 a 9 anos";711;667;1378
"De 10 a 14 anos";741;704;1445
"De 15 a 19 anos";693;705;1398
"De 20 a 24 anos";732;739;1471
"De 25 a 29 anos";776;753;1529
"De 30 a 34 anos";826;746;1572
"De 35 a 39 anos";827;759;1586
"De 40 a 44 anos";715;695;1410
"De 45 a 49 anos";601;589;1190
"De 50 a 54 anos";548;547;1095
"De 55 a 59 anos";490;459;949
"De 60 a 64 anos";389;335;724
"De 65 a 69 anos";271;270;541
"De 70 a 74 anos";177;202;379
"De 75 a 79 anos";128;139;267
"De 80 anos ou mais";147;152;299
"Total";9524;9179;18703
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

