 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 510140 Aripuanã
Período:2007
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";962;948;1910
"De 5 a 9 anos";983;858;1841
"De 10 a 14 anos";1031;914;1945
"De 15 a 19 anos";897;812;1709
"De 20 a 24 anos";908;826;1734
"De 25 a 29 anos";931;779;1710
"De 30 a 34 anos";847;737;1584
"De 35 a 39 anos";771;609;1380
"De 40 a 44 anos";649;479;1128
"De 45 a 49 anos";498;364;862
"De 50 a 54 anos";362;264;626
"De 55 a 59 anos";290;192;482
"De 60 a 64 anos";193;125;318
"De 65 a 69 anos";143;89;232
"De 70 a 74 anos";77;55;132
"De 75 a 79 anos";51;40;91
"De 80 anos ou mais";36;27;63
"Total";9629;8118;17747
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

