 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 510160 Barão de Melgaço
Período:2019
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";320;306;626
"De 5 a 9 anos";298;270;568
"De 10 a 14 anos";303;258;561
"De 15 a 19 anos";276;257;533
"De 20 a 24 anos";274;241;515
"De 25 a 29 anos";332;268;600
"De 30 a 34 anos";385;285;670
"De 35 a 39 anos";341;298;639
"De 40 a 44 anos";385;273;658
"De 45 a 49 anos";364;263;627
"De 50 a 54 anos";330;258;588
"De 55 a 59 anos";330;238;568
"De 60 a 64 anos";250;184;434
"De 65 a 69 anos";190;133;323
"De 70 a 74 anos";162;104;266
"De 75 a 79 anos";106;84;190
"De 80 anos ou mais";108;90;198
"Total";4754;3810;8564
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

