 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 510190 Brasnorte
Período:2004
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";679;665;1344
"De 5 a 9 anos";696;721;1417
"De 10 a 14 anos";693;649;1342
"De 15 a 19 anos";653;601;1254
"De 20 a 24 anos";649;564;1213
"De 25 a 29 anos";616;506;1122
"De 30 a 34 anos";547;450;997
"De 35 a 39 anos";497;403;900
"De 40 a 44 anos";422;301;723
"De 45 a 49 anos";350;261;611
"De 50 a 54 anos";295;189;484
"De 55 a 59 anos";195;131;326
"De 60 a 64 anos";129;111;240
"De 65 a 69 anos";114;59;173
"De 70 a 74 anos";63;37;100
"De 75 a 79 anos";33;21;54
"De 80 anos ou mais";21;16;37
"Total";6652;5685;12337
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

